  _                        
 / `_   _  _  /__/|   _  /_
/_,//_// //_ / // /_//_ /\ 

Reading a list of already known solutions for...
Done reading...
Starting from , steps = 5000
Result: 87 == +[->-<--]>++ (12, 2, 1202)
Result: 173 == -[->-<--]>++ (12, 2, 600)
Result: 131 == --[>-<--]>++ (12, 2, 768)
Result: 173 == +[-->+<-]>++ (12, 2, 1202)
Result: 87 == -[-->+<-]>++ (12, 2, 600)
Result: 87 == +[-->-<-]>++ (12, 2, 1202)
Result: 173 == -[-->-<-]>++ (12, 2, 600)
Result: 131 == --[->-<-]>++ (12, 2, 768)
Result: 87 == +[+++>+<]>++ (12, 2, 600)
Result: 173 == -[+++>+<]>++ (12, 2, 1202)
Result: 173 == +[--->+<]>++ (12, 2, 1202)
Result: 87 == -[--->+<]>++ (12, 2, 600)
Result: 173 == +[+++>-<]>++ (12, 2, 600)
Result: 87 == -[+++>-<]>++ (12, 2, 1202)
Result: 131 == ++[++>-<]>++ (12, 2, 768)
Result: 87 == +[--->-<]>++ (12, 2, 1202)
Result: 173 == -[--->-<]>++ (12, 2, 600)
Result: 131 == --[-->-<]>++ (12, 2, 768)
Result: 87 == -[>++<+++]>+ (12, 2, 1372)
Result: 86 == >+[>+<+++]>+ (12, 3, 600)
Result: 87 == --[>+<+++]>+ (12, 2, 607)
Result: 172 == >-[>+<+++]>+ (12, 3, 1202)
Result: 87 == +[>--<+++]>+ (12, 2, 684)
Result: 87 == ++[>-<+++]>+ (12, 2, 1195)
Result: 172 == >+[>-<+++]>+ (12, 3, 600)
Result: 86 == >-[>-<+++]>+ (12, 3, 1202)
Result: 87 == -[+>++<++]>+ (12, 2, 1372)
Result: 86 == >+[+>+<++]>+ (12, 3, 600)
Result: 87 == --[+>+<++]>+ (12, 2, 607)
Result: 172 == >-[+>+<++]>+ (12, 3, 1202)
Result: 128 == >++[>+<++]>+ (12, 3, 768)
Result: 87 == +[+>--<++]>+ (12, 2, 684)
Result: 87 == ++[+>-<++]>+ (12, 2, 1195)
Result: 172 == >+[+>-<++]>+ (12, 3, 600)
Result: 86 == >-[+>-<++]>+ (12, 3, 1202)
Result: 130 == >++[>-<++]>+ (12, 3, 768)
Result: 87 == -[++>++<+]>+ (12, 2, 1372)
Result: 86 == >+[++>+<+]>+ (12, 3, 600)
Result: 87 == --[++>+<+]>+ (12, 2, 607)
Result: 172 == >-[++>+<+]>+ (12, 3, 1202)
Result: 128 == >++[+>+<+]>+ (12, 3, 768)
Result: 87 == +[++>--<+]>+ (12, 2, 684)
Result: 87 == ++[++>-<+]>+ (12, 2, 1195)
Result: 172 == >+[++>-<+]>+ (12, 3, 600)
Result: 86 == >-[++>-<+]>+ (12, 3, 1202)
Result: 130 == >++[+>-<+]>+ (12, 3, 768)
Result: 87 == +[>++<---]>+ (12, 2, 1372)
Result: 87 == ++[>+<---]>+ (12, 2, 607)
Result: 172 == >+[>+<---]>+ (12, 3, 1202)
